Question	Potentially_Pejorative
人站在地球上为什么没有头朝下的感觉 	None
我的小baby	None
请问这起交通事故是谁的责任居多?小车和摩托车发生事故，在无红绿灯 	None
松本面板可以配什么品牌的超五类模块?? 	None
请教怎么能很快能洗干净猪肠?有什么方法 	None
毛孔粗大怎么办我脸上长豆豆,出油,额头,鼻子上,脸上都有毛孔,很 	None
黑河市治疗癫痫最权威的医院有哪些 	None
替人垂泪到天明－－商业用语一 	None
本期铁胆罗马强势单3 	None
降压药的选择不知道波依定和洛活喜两种药各有什么特点，适合哪种人服 	None
有6区无尽之海众神之子工会的吗?你们会怎么了?看不见人了,解散了 	None
老师好，青青稞酒明天再跌就可以建仓了吗？谢谢。 	None
onthesouthofthecity是在城内还是成外？ 	None
古代官职升迁又怎么说的，比如：拜。。。最好还有例句！ 	None
在离心管中加入水和密度小于水的小球在倾斜的离心管中加入水和密度小 	None
邯郸市哪里有卖纳威沙发 	None
请各位老师讲解！如图所示，，A、B是圆的直径的两端，小张在A点， 	None
Word文档,一页半文字,怎样调整使其真好布满两页? 	None
出大事了出大事了你知道吗武汉江夏公安分局接到群众举报电话,说在天 	None
简单的地理基础知识填空，要100%正确（一）考点知识清单一地图1 	None
下体很痒怎么回事?是什么原因呢?长了一些像疹子一样的东西,正好我 	None
为什么手机连不上wifi我的手机型号是lephone1800 	None
请问吃紧急避孕药月经推迟多久才是正常的？我因为吃了那药，月经已经? 	None
霉菌性阴道炎会上行感染胎儿吗目前未确定怀孕但怀孕可能性较大，我1 	None
公鸡和母鸡是怎么交配的如何受精产生小鸡 	None
word中想只插入一个键箭头如何居中？我在word中，我想打一个 	None
怎样快点长高我160想长高5厘米怎么可以长高 	None
根据我的中文名来取个英文名苏金凤根据我的中文名来取个英文名本人苏 	None
16个月男宝宝长8颗牙齿??我家宝宝16个月:1、才长8颗牙齿( 	None
求解，这是什么东西啊？ 	None
DZ怎么才能在大战场立脚我的盗贼无BUFF3700血，为了拿2把 	None
宝宝腹泻一周，吃了药不见效，用换腹泻奶粉吗？已有宝宝:年龄1岁2 	None
一元一次方程!车间有28名工人,生产一种螺栓和螺帽,一个螺栓的两 	None
电影票房是怎样计算的？ 	None
将SO2气体分别通入什么溶液中能出现下述现象？①紫色变红色;②紫 	None
请问什么工作或职业最赚钱？ 	None
重庆哪里可以治疗尖锐湿疣能不复发 	None
西方经济学论文代发怎么样？各位都有这方面的经验吗？都尽量说说吧 	None
上古运动会有人作弊吗我知道上古运动会的时间是下午的3点5点和7点 	None
大纳智捷生活馆是怎样看车的？ 	None
期任九108元初单!欢迎指教!!1年轻人vs利物浦2乌迪内vs安 	None
真有这么巧的事？建立个小弓和一转前的武器前4手上了3个G10老婆 	None
怎么安装双系统？知道的进，高分我现在用的是XP系统，但是我还想安 	None
九年级相似图形在梯形ABCD中，AD//BC,E是AB上的一点， 	None
华夏公司网上交易使用的广发卡是广发理财通卡吗？如题，广发理财通卡 	None
历史上西施活了多少岁？ 	None
我儿子从高一上学期与班中的一位女体育特长生关系密切后,发现他对学? 	None
请问11服的钢铁原石值多少钱呀？ 	None
宝宝这是鼻炎吗？宝宝鼻塞半个月，刚开始的鼻涕是白色带黄，后来是黄 	None
用了祛痘洗面奶反而脸上长痘痘了怎么回事啊？ 	None
《项链》的作者是谁 	None
不睡枕头对颈椎病好吗？他们说有颈椎病的人最好不睡枕头。 	None
怎样才能使自己的内心强大起来！ 	None
他这样是爱我吗？我们是经人介绍认识，认识到现在已经有三个月了，自 	None
竹炭煮水的好处在水壶里放两大片洗净的竹碳，坐水时一起煮，这样的开 	None
上海哪家医院治疗输卵管堵塞好 	None
冬天进补好呢还是夏天好？ 	None
夏季如何进行饮食调养养生？ 	None
请问钨，钼，钨铝丝的居里点是多少？ 	None
我写了我的姓名和身份证号码通过哪个未成年许可怎么像是没反应的啊? 	None
为什么会得癔症 	None
形成胆结石的原因是？ 	None
外贸服装哪里进货像“第一街”“署光里”那些外贸服装都从哪里进货 	None
辐射防护该怎么做呢？ 	None
我好心疼哦！！！我听说喜欢的人已经有心上人了，我好心疼哦！你们可 	None
我就贷款买基金了今年贷款买了好多的基金啊，收益25%还多从八月到 	None
鬣狗和野狗的外观和毛色都差不多,为何名称不同? 	None
同花顺2007标准版和同花顺盛大密宝有什么区别同花顺里有同花顺2 	None
T	None
主板启动电脑？想问一下在主机开关出现故障时，直接利用主板如何启动 	None
的鼻子很大,而且没有鼻梁,难看死了,有没有办法变小或者鼻梁变挺? 	None
老是感到胸闷,是怎么回事?我40岁,老是感到胸闷,喘不过气来.有 	None
今天我MM被诊断为肺炎，虽然她确实高烧，可是并没有咳嗽症状，这个? 	None
电信1黄金车身1型的价位在多少 	None
通过qq如何控制对方电脑? 	None
这两天嘉实300和南方稳健都要大比例分红了.分完净值都在1左右了? 	None
穷在句中的意思穷追猛打中穷是极端的意思还是彻底的意思 	None
电子词典选什么牌子的？五一想入手一款电子词典，该选什么牌子的，要 	None
谁帮我捉1只火暴萝卜和1个火爆樱桃是火暴的 	None
女人体香是怎么回事 	None
有关专利发明奖金是否要缴纳个人所得税哪位大仙知道：公司对职务发明 	None
请问这句莫名其妙的诗句是什么意思？完整的如下：太窥门夹豆,丫洗盆? 	None
微博是不是可以有个类似于qq空间的功能，谁来微博主页了就发个消息? 	None
55级的菩提宝杖从哪打出来的？ 	None
都是新手问题，帮助新手的，非常简单，新手请回答，问题一说出一个怪 	None
什么是社会主义?社会主义的本质是什么, 	None
重庆大坪医院打胎大概多少钱？ 	None
魔转物那个技能几级可以学,哪里学啊 	None
全力火弓有前途吗??我是15级全力火弓``请问各位大虾,有前途吗 	None
地下钟乳洞（地宫）怎么去？要在哪里接任务，还要打什么东西吗？哪里? 	None
3个战场的双倍声望时间?请说的详细些。 	None
从上海森勤国际大酒店到上海维也纳国际大酒店有多远？ 	None
淡谈真三武名系统取消后的波澜关于这次武名系统取消，同意的占大多数 	None
为什么上海地铁单单只有上海马戏城站的站台上有门？同标题！ 	None
关于基金啥叫前端申购代码,后端申购代码.有啥区别.有甚么作用. 	None
小联赛足彩延期开奖推迟比赛或310全算对新浪体育讯　北京时间12 	None
进入易玩通网站怎么看不见我还有多少点呀，还是0点，去哪能看到 	None
北京哪里礼物便宜？毛绒玩具哦！质量也要好！ 	None
大家都买了多少钱 	None
５０级敏白妖加点问题我是５０级敏妖拿刀，请问那个点是加什么好呢？ 	None
麻婆豆腐怎么做才入味呢? 	None
高三数学题，急求，在线等据研究，甲，乙两个磁盘受到病毒感染，感染 	None
关于一石二鸟的问题看见有些人再说，1s2n无视护卫？我记得不是的 	None
帮派公德怎么弄啊!!!!!!有什么用啊!!!!!! 	None
没完没了的8场了...(图) 	None
怎么下载网校带手写的讲义? 	None
为什么老担心家人出事为什么脑子总要胡思乱想老担心他们出事?有什么 	None
关于准生证的问题我有单位，但档案在人才，而且我单位没有计生部门， 	None
每期4场竞猜，全对送50分埃弗顿	None
换工作了，公积金和保险怎么办大家好，半年前，我和原来的单位闹翻了 	None
咨询我的系统是WINDOWSXP，我光大大智慧安装好以后，都没问 	None
怎么还在维护怎么还在维护 	None
如何形容美女有气质 	None
管理员来下~为什么我回答问题，回答后的答案不见了呢~~~~想重新 	None
猫游记禅怎么装备啊！！我去挂禅很久了，也没怎样禅怎么装备 	None
优先资源配置就是优先把内存分配给游戏那一部分,让游戏运行得流畅些 	None
电脑问题咨询我的电脑屏幕两边是黑的只有中间是屏幕我应该怎么搞才能 	None
有没有超搞笑的笑话告诉我 	None
开办网上购物网站，需要办理哪些手续？我想开办一个网上购物的网站， 	None
08年28号新诛仙有电信新区吗?我想问下08年28号的新诛仙六道 	None
哺乳期可以用雪山金罗汉止痛涂膜剂吗？宝宝二三个月的时候我一直抱， 	None
请教高手一些关于祖尔格拉布硬币的问题，请问各种硬币怎么交，交了以? 	None
新版微博的密友功能是什么？ 	None
清泉老师好.000851怎么办?谢谢 	None
有在大自然给宝宝照过百岁照的朋友吗？提前多长时间预约，一套一般偏 	None
做爱能治疗青春豆吗？听朋友说做爱可以治疗青春豆是真的吗？有没有科 	None
在查找过程中如何知道要查找的具体QQ号码是否在线呢 	None
为什么药物治疗脱发会效果差？还可以能过其他什么方法做呢！？ 	None
会长是女仆大人会出第二季吗?会长是女仆大人漫画快要完结了哦,动漫 	None
如题，如何做好一个优秀的网页美工？ 	None
找人问题在公明有没有重庆开县人啊 	None
重装型不能用更改颜色不是说涂料是对应全机种吗给个合理的解释。 	None
谁知道是什么类型的字库啊,谢谢 	None
我的网络走代理，能不能玩天2？我的电脑是局域网中走代理服务器的， 	None
光通有打算将传奇３Ｇ变为免费的吗 	None
关于卡屏（假死）在用LX天堂双开时，一般刚登陆的前几次保姆或者打 	None
请问一下忍者高手？我想开一个专门ＰＫ的忍者．．．应该怎么加点ＰＫ 	None
男友说，对我还需要3个月的考察期，是什么意思啊？我跟男友相处时间 	None
RMB!!!这问题没有分!!!刚才问完前面一个问题后,数了一下自 	None
请问，杀毒软件——麦咖啡和瑞星比较，哪个好？ 	None
f(x)在x=a处可导，f(x)的绝对值在x=a处不可导的条件？ 	None
猫咪长蚤子怎么办？ 	None
眼睛长黄东西？眼睛里面底下长黄东西，脓包似的，是不是上火，咋办？ 	None
电脑培训班学习网络工程师专业。北京那家学校不错？在南城上课 	None
下载小说问个问题，可能有点傻，怎么把书架上的输下载到桌面，有办法 	None
请问在网上地税申报中，在做综合申报表时，实际缴纳税额，已（抵）缴? 	None
1982年7月22日查询星座阴历1982年7月22日是什么星座 	None
想做泰韩正品护肤品，能代购吗？ 	None
手血热怎么办 	None
哪支基金与广发聚富的相关性小呢？我已买了广发聚富和南方稳健Ⅱ号， 	None
银色黎明声望问题我的银色黎明的声望已经到了友善，是5999，可是 	None
12岁小女生剪什么样的短发好看？发质软，细，头发较多，什么样的短 	None
如何进入游戏帐号申请完毕后如何进入 	None
高一物理关于加速度用枪竖直向上射出一粒子弹设空气阻力与子弹速度大 	None
13岁的大城市小男生喜欢什么样的生日礼物? 	None
问题.来看看0.40的补丁下了解压怎么还是不能进啊.还是说版本底 	None
我的通过了一些算命的说，我的命适合去理佛？我很恐惧怎么办呢？ 	None
网上哪里购买月卡最便宜,怎么操作,会不会受骗,有没有安全的,谁买? 	None
腰疼是怎么回事我近两年来站久了总是腰疼而不是腿疼，是不是和肾有关 	None
在5173买游戏帐号会被找回去吗我打算再5173买个游戏帐号&l 	None
进不了奇迹世界为什么总是提示文件升级失败然后就退出大区选择界面， 	None
请教水煮鱼的做法告诉我吧！ 	None
很不爽,发烧怎么办? 	None
听说斯巴鲁的车都是全时四驱的？好处在哪啊？懂的给说说！ 	None
请问我的显卡是ELSAFX534P为什么游戏功能选项的游戏画面中? 	None
极限特工2中在直升机上的那个光头白人是谁?那位黑人老兄越狱后，一 	None
哪位朋友有李赋宁编写的《欧洲文学史》？请问哪位朋友有李赋宁编写的 	None
点卡充错区了怎么办啊?我是华东飞花用户.充点卡的时候鼠标滚轮滚了 	None
苹果手机壳哪个品牌比较好？ 	None
民法选择题有限责任公司属于（)A.社团法人B.财团法人C.营利法 	None
他和我都互相喜欢，但是他有女友。最近他对我的态度是有点怪怪的：不? 	None
我家宝贝从2岁多就开始晚上睡觉偶尔有磨牙现象，现在4岁了，每天晚? 	None
怎么免费得Q币，有什么好方法？ 	None
从幻境7层怎么到幻境10层啊？谢谢，大虾说下啊 	None
男生心情不好怎么办？他是我的一个很要好的男性朋友，最近的他总是心 	None
饮用水反复烧过的水喝了后对人体会造成那些不好的影响? 	None
世界最大的淡水湖 	None
学历不同的爱情女的是大学生，男的是初中生，但是他们很相爱。他们能 	None
决战摸爬滚打的岁月（一）英雄的年代做人太久，是英雄代理最大的痛苦 	None
退休了，？怎么办一转眼，就退休了，该怎么办？有点不知所措。请朋友 	None
2012年做什么生意好呢？2012年不想给人家打工了，想自己做点 	None
脐带绕颈，急！！！孕30周做B超检查出宝宝脐带绕颈2周。看到结果 	None
什么是卢森堡公国？？请详细一些，谢谢 	None
一个小问题大家看下问下师们任务就说钱面怪任务吧,我在网吧上时间要 	None
68及豪杰血2000+少吗,加体魄会提高防吗? 	None
新浪微博登不进去了说什么“我们发现你在新浪的帐号密码与其他网站被? 	None
武林外传里的剑圣怎么加点好？ 	None
“屋漏偏遭连夜雨”，下一句是什么？请指教… 	None
请告诉一下我好吗？如果做完流产手术一个星期后就不流血了，还用去医 	None
愁啊，孩子的早恋问题！本人工科博士、教授、博导，每天很忙，为了孩 	None
最近好看的韩剧类似于请回答1997这部剧的......很好看，推 	None
求欧洲杯欧洲杯小组出现详细规则 	None
SS的困惑不知道大家看没看今天官网上发布的新技能，SS以后打架还 	None
神盾估价，高手进！40级掉2血1防神盾，有技能，精神成长2.23 	None
隐身侠怎么样用着？ 	None
动态IP问题我是铁通拨号动态IP,近来如上网获得的IP地址是21 	None
好冷呀! 	None
深圳哪家品牌生产的监控摄像机比较好？本人一直想买一台监控摄像机， 	None
高手帮帮忙，我最近想买车，不知道是买86好，还是买B2类的车好， 	None
杭州哪有卖电动轮椅的？老人偏瘫，想给老人买款电动轮椅，价格方面不 	None
三相四线直接接线式电表可否接互感器 	None
什么东西越生气它就越大？ 	None
南开区哪有卖暖瓶胆的 	None
环境艺术和建筑装饰那个的范围广一些？无意中看到的宣传，所以比较好 	None
飘流幻境的。。。。钱要怎么赚？ 	None
NET源码是什么？ 	None
你给别人投赞扬票时会告诉他(她)吗？我注意到有的人每次给人投了赞 	None
为什么我真了修真任务，但修为没长啊，999我啊~~~我是个小WX 	None
澳洲一流大学和普通大学有什么区别?澳洲的一流大学,如悉尼大学、澳 	None
SOS谁知道怎样删除下载的文件急啊要彻底的把曾经下载或拷贝的文件 	None
小孩子长牙时，新冒出的牙顶着原先的乳牙，那颗乳牙要去医院拔掉吗 	None
斑竹请进高手来看急需打造一览表,以前在新手手册里的那个怎么看不到 	None
冰1，魔1的绿色项链能值多少？谢谢！神鬼王暴的 	None
我这个月怎么还不来月经呢,上个月我做爱后来了月经,但是这个没有做? 	None
谁用过“正行列式”怎么算，是否只能用按行或按列展开呀，有没有其他? 	None
给个超级帐号激活码 	None
请excel高手帮忙看一下数据很多,不用复制粘贴,而用公式或者函 	None
为什么取消　财富通支付我一直都是用财富通　冲值的前几天网站维护　 	None
海马怎么吃？听说可以炖汤，请问怎么做？谢谢！ 	None
台服没有繁体显示，英文发音从新浪上下载的台版WOW，安装完后没有 	None
数学一题环形跑道周长是500米，甲、乙两人按顺时针沿环形跑道同时 	None
请教“虚掩的门”大师及各位专家帮我设计一下，先谢谢了！我的房子建 	None
如何练习英语口语效果最佳 	None
不等式的牲质关于ｘ的不等式ｘ一ａ&lt;1的解集Ｘ&lt;2,则 	None
为什么我电脑看不到文件夹名字！ 	None
爱一个人需要理由吗>?爱一个人需要理由吗??怎么能分辨出来是真喜 	None
【壬辰清明谜会01—06】春满清明9笔字一 	None
做肉丸要用什么机器?是不是一台碎肉机及一台成型机就可以了呢?主要 	None
请银行的朋友帮个忙啊回答个问题,好急,谢谢了朋友去年在贵州存钱开 	None
全身经络不通，平湖哪里有好中医的？ 	None
电脑经常出现间断性死机会不会影响它的使用寿命?这种现象对机子各部 	None
奇怪，中国的柴油与欧洲的不同吗？在国内，只要是使用柴油的汽车或拖 	None
做生意的人该如何锻炼自己的交流能力?我决定以后做生意,但是我社交 	None
老年人膝盖骨质增生该怎么治疗，有谁知道的，跪求。 	None
寻一直中线医药股请高手推荐一支医药股，拿到今年底的，谢谢 	None
不能自动关机我是三星笔记本近几天关机后出现蓝屏一大堆英文触一下开 	None
韩国泡菜在哪里有啊？同上 	None
关于扬州的特产的介绍 	None
我很想找到现代西班牙语第一册的全部教学视频，要mp4格式的，请大? 	None
小雨点儿，给我算下dd1aa90d8a40b331b73dca4 	None
在　海南的海边　什么地方肃静　消费底　租个便宜的房子要多钱？一个? 	None
我不会哦，帮帮我！本恩的年龄乘我和泰德年龄的差，与我的年龄乘以他 	None
msn在教学工作中的作用 	None
梦到有人睡在身边是什么意思我男朋友连续6天梦到一个人背对他睡在他 	None
怀孕能吃螃蟹吗现在正是开始吃螃蟹的时节。我现在24周，请问可以吃 	None
头发怎么洗头发怎么洗头发怎么洗头发怎么洗头发怎么洗头发怎么洗头发? 	None
恭喜霆锋成为最适合演藤原拓海的人选。今天刚在娱乐新闻上面看到，认 	None
清泉老师600111怎么操作，明天卖掉吗 	None
博文中放音乐 	None
请问什么时候升级好啊?升级好请大家及时通知我,我的电子邮件是高分 	None
北京西站和北京站有预售火车票的吗 	None
请问焦虑症是一种什么样的病症状态？成都治疗的话哪家医院比较权威可? 	None
为什么北京周边都在下雪而北京却没有下场相样大雪的意思呢为什么北京 	None
"零红蝶的问题　　=====【第五刻】=======　　→得到""逢 "	None
传奇世界魔法权杖升级?升到10怎样升？ 	None
印度发展到现在总共是有多少人口啊 	None
家族技能升级任务中的护宝剑魔在哪里啊??? 	None
冬天口唇干裂用什么保养？ 	None
模拟人生2的基础盘到底有几张? 	None
嘴里起溃疡是什么毛病？嘴巴的上、下唇里经常起溃疡，是什么引起的？ 	None
晒太阳为何会皮肤骚痒我已有好几年了,每到冬天晒太阳皮肤就痒,吃辣 	None
同居是否有罪？ 	None
请问habilitation是什么意思，谢谢Ataverypra? 	None
农村家庭用的太阳能热水器哪个牌子好？因为想在农村做太阳能热水器生 	None
为什么情人节要送巧克力？ 	None
33层的房子能买吗 	None
电信5风灵,一转剑合什么好Z还G,19级怎么升快点250元宝能卖 	None
满腹经纶怎么拿？求帮助 	None
英格兰你让我很失望！我真的十分失望啊！怎摸会这样！ 	None
是哪儿的电话号码?这是个语音电话,又是某某起诉我的官司电话,是否? 	None
"有谁知道有哪些好的""自考""学习软件~~哎~~大一一进来就玩,现在 "	None
建议国际足联把中国男子足球队纳入残疾人比赛.像现在在云南举行的比? 	Potentially
